;Database ID;Rekkefølge;V1: Hovedtype bruker;V2: Alder osv;REE;Ekstra energiforbruk;V3a/b: Arbeid/hovedaktivitet;V4: Fritid ;PAL arbeid;PAL fra fritid;PAL (sum);MJ/dag;kJ;kcal;KH (E %) (min);KH (E %) (max);Tilsatt sukker (E %) (max);Kostfiber (g) ;Kostfiber (g) ;Fett ( E %) ;Fett (E %);Mettet fett (E %) ; Transfett (E %);Enumettet fett ( E %) (min);Enumettet fett (E %)(max);Flerumettet fett (E %) (min);Flerumettet fett (E %)(max);Omega-3 (E %);Omega-6 (E %);Protein (E %) (min);Protein (E %) (max);Alkhol (g);Salt (g);Vitamin A;Vitamin D;Vitamin E;Tiamin;Riboflavin;Niacin;Niacinekvivalenter;Vitamin B6;Folat;Vitamin B12;Vitamin C;Kalsium;Jern;Kalium;Fosfor;Natrium (max);Magnesium;Sink;Kobber;Selen;Jod
;;;nutrient ID (matvaretabellen);;;;;;;;;;Energi1;Energi2;Karbo;Karbo;Sukker;Fiber;Fiber;Fett;Fett;Mettet;Trans;Enumet;Enumet;Flerum;Flerum;Omega-3;Omega-6;Protein;Protein;Alko;NaCl;Vit A;Vit D;Vit E;Vit B1;Vit B2;Niacin;;Vit B6;Folat;Vit B12;Vit C;Ca;Fe;K;P;Na;Mg;Zn;Cu;Se;I
;;;Grenser;;;;;;;;;;gjsn;gjsn;min;max;gjsn;min;max;min;max;gjsn;gjsn;min;max;min;max;gjsn;gjsn;min;max;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn;gjsn
;1;67;Mann;18-30;7,3;;SENGELIGGENDE/INAKTIV;;1,15;;1,15;8,395;8395;2006,405;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2;68;Mann;18-30;7,3;;STILLESITTENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,6;0,015;1,615;11,7895;11789,5;2817,6905;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
Eksempelmeny;3;69;Mann;18-30;7,3;;STILLESITTENDE ARBEID;AKTIV 2-3 timer trening per uke;1,6;0,0625;1,6625;12,13625;12136,25;2900,56375;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;4;70;Mann;18-30;7,3;;STILLESITTENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,6;0,25;1,85;13,505;13505;3227,695;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;5;71;Mann;18-30;7,3;;STÅENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,8;0,015;1,815;13,2495;13249,5;3166,6305;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;6;72;Mann;18-30;7,3;;STÅENDE ARBEID;AKTIV 2-3 timer trening per uke;1,8;0,0625;1,8625;13,59625;13596,25;3249,50375;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;7;73;Mann;18-30;7,3;;STÅENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,8;0,25;2,05;14,965;14965;3576,635;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;74;Mann;18-30;7,3;;FYSISK HARDT ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;2,2;0,015;2,215;16,1695;16169,5;3864,5105;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;9;75;Mann;18-30;7,3;;FYSISK HARDT ARBEID;AKTIV 2-3 timer trening per uke;2,2;0,0625;2,2625;16,51625;16516,25;3947,38375;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;10;76;Mann;18-30;7,3;;FYSISK HARDT ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;2,2;0,25;2,45;17,885;17885;4274,515;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,4;1,6;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;11;77;Mann;31-60;6,9;;SENGELIGGENDE/INAKTIV;;1,15;;1,15;7,935;7935;1896,465;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,3;1,5;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ingen eksempelmeny;12;78;Mann;31-60;6,9;;STILLESITTENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,6;0,015;1,615;11,1435;11143,5;2663,2965;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,3;1,5;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;13;79;Mann;31-60;6,9;;STILLESITTENDE ARBEID;AKTIV 2-3 timer trening per uke;1,6;0,0625;1,6625;11,47125;11471,25;2741,62875;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,3;1,5;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;14;80;Mann;31-60;6,9;;STILLESITTENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,6;0,25;1,85;12,765;12765;3050,835;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,3;1,5;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;15;81;Mann;31-60;6,9;;STÅENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,8;0,015;1,815;12,5235;12523,5;2993,1165;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,3;1,5;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;16;82;Mann;31-60;6,9;;STÅENDE ARBEID;AKTIV 2-3 timer trening per uke;1,8;0,0625;1,8625;12,85125;12851,25;3071,44875;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,3;1,5;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;17;83;Mann;31-60;6,9;;STÅENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,8;0,25;2,05;14,145;14145;3380,655;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,3;1,5;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;18;84;Mann;31-60;6,9;;FYSISK HARDT ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;2,2;0,015;2,215;15,2835;15283,5;3652,7565;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,3;1,5;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;19;85;Mann;31-60;6,9;;FYSISK HARDT ARBEID;AKTIV 2-3 timer trening per uke;2,2;0,0625;2,2625;15,61125;15611,25;3731,08875;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,3;1,5;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;20;86;Mann;31-60;6,9;;FYSISK HARDT ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;2,2;0,25;2,45;16,905;16905;4040,295;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,3;1,5;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;21;87;Mann;61-74;6,1;;SENGELIGGENDE/INAKTIV;;1,15;;1,15;7,015;7015;1676,585;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,2;1,4;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;22;88;Mann;61-74;6,1;;STILLESITTENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,6;0,015;1,615;9,8515;9851,5;2354,5085;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,2;1,4;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;23;89;Mann;61-74;6,1;;STILLESITTENDE ARBEID;AKTIV 2-3 timer trening per uke;1,6;0,0625;1,6625;10,14125;10141,25;2423,75875;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,2;1,4;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;24;90;Mann;61-74;6,1;;STILLESITTENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,6;0,25;1,85;11,285;11285;2697,115;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,2;1,4;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;25;91;Mann;61-74;6,1;;STÅENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,8;0,015;1,815;11,0715;11071,5;2646,0885;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,2;1,4;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;26;92;Mann;61-74;6,1;;STÅENDE ARBEID;AKTIV 2-3 timer trening per uke;1,8;0,0625;1,8625;11,36125;11361,25;2715,33875;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,2;1,4;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;27;93;Mann;61-74;6,1;;STÅENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,8;0,25;2,05;12,505;12505;2988,695;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,2;1,4;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;28;94;Mann;61-74;6,1;;FYSISK HARDT ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;2,2;0,015;2,215;13,5115;13511,5;3229,2485;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,2;1,4;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;29;95;Mann;61-74;6,1;;FYSISK HARDT ARBEID;AKTIV 2-3 timer trening per uke;2,2;0,0625;2,2625;13,80125;13801,25;3298,49875;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,2;1,4;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;30;96;Mann;61-74;6,1;;FYSISK HARDT ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;2,2;0,25;2,45;14,945;14945;3571,855;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;10;10;1,2;1,4;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;31;97;Mann;75+;6,06;;SENGELIGGENDE/INAKTIV;;1,15;;1,15;6,969;6969;1665,591;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;20;10;1,2;1,3;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;32;98;Mann;75+;6,06;;STILLESITTENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,6;0,015;1,615;9,7869;9786,9;2339,0691;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;20;10;1,2;1,3;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;33;99;Mann;75+;6,06;;STILLESITTENDE ARBEID;AKTIV 2-3 timer trening per uke;1,6;0,0625;1,6625;10,07475;10074,75;2407,86525;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;20;10;1,2;1,3;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;34;100;Mann;75+;6,06;;STILLESITTENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,6;0,25;1,85;11,211;11211;2679,429;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;20;10;1,2;1,3;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;35;101;Mann;75+;6,06;;STÅENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,8;0,015;1,815;10,9989;10998,9;2628,7371;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;20;10;1,2;1,3;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;36;102;Mann;75+;6,06;;STÅENDE ARBEID;AKTIV 2-3 timer trening per uke;1,8;0,0625;1,8625;11,28675;11286,75;2697,53325;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;20;10;1,2;1,3;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;37;103;Mann;75+;6,06;;STÅENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,8;0,25;2,05;12,423;12423;2969,097;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;20;10;1,2;1,3;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;38;104;Mann;75+;6,06;;FYSISK HARDT ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;2,2;0,015;2,215;13,4229;13422,9;3208,0731;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;20;10;1,2;1,3;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;39;105;Mann;75+;6,06;;FYSISK HARDT ARBEID;AKTIV 2-3 timer trening per uke;2,2;0,0625;2,2625;13,71075;13710,75;3276,86925;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;20;10;1,2;1,3;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;40;106;Mann;75+;6,06;;FYSISK HARDT ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;2,2;0,25;2,45;14,847;14847;3548,433;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<20;<6;900;20;10;1,2;1,3;;;1,5;300;2;75;800;9;3500;600;<2300;350;9;0,9;60;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;41;27;Kvinne;18-30;5,8;;SENGELIGGENDE/INAKTIV;;1,15;;1,15;6,67;6670;1594,13;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;10;8;1,1;1,3;;;1,2;400;2;75;800;15;3100;600;<2300;280;7;0,9;50;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;42;28;Kvinne;18-30;5,8;;STILLESITTENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,6;0,015;1,615;9,367;9367;2238,713;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;10;8;1,1;1,3;;;1,2;400;2;75;800;15;3100;600;<2300;280;7;0,9;50;150
Eksempelmeny;43;29;Kvinne;18-30;5,8;;STILLESITTENDE ARBEID;AKTIV 2-3 timer trening per uke;1,6;0,0625;1,6625;9,6425;9642,5;2304,5575;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;10;8;1,1;1,3;;;1,2;400;2;75;800;15;3100;600;<2300;280;7;0,9;50;150
;44;30;Kvinne;18-30;5,8;;STILLESITTENDE ARBEID;SVÆRT AKTIV mer enn 3 timer trening per uke;1,6;0,25;1,85;10,73;10730;2564,47;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;10;8;1,1;1,3;;;1,2;400;2;75;800;15;3100;600;<2300;280;7;0,9;50;150
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;45;31;Kvinne;18-30;5,8;;STÅENDE ARBEID;LITE AKTIV mindre enn 2 timer trening per uke;1,8;0,015;1,815;10,527;10527;2515,953;45;60;<10;25;35;25;40;<10;<1;10;20;5;10;1;5;10;20;<10;<6;700;10;8;1,1;1,3;;;1,2;400;2;75;800;15;3100;600;<2300;280;7;0,9;50;150
